,segment,date_extract,income_statement,actual_month,forecast_month,budget_month,prev_year_month,link_id
49,CH,2022-03-01,Marketing expenses,-0.5730000000000001,-0.5730000000000001,-0.576141,-0.09100000000000019,CH_ER_2022-03-01
50,CH,2022-03-01,EAT,0.12420000000000009,0.12420000000000009,0.3319890000000001,0.27,CH_ER_2022-03-01
51,CH,2022-03-01,Other operating income,0.16800000000000004,0.16800000000000004,-0.36488699999999996,0.375,CH_ER_2022-03-01
52,CH,2022-03-01,Consolidated Revenues,60.259000000000015,60.259000000000015,59.738523,56.10600000000001,CH_ER_2022-03-01
53,CH,2022-03-01,External Revenues in LC,60.485000000000014,60.259000000000015,59.738523,56.10600000000001,CH_ER_2022-03-01
54,CH,2022-03-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0,CH_ER_2022-03-01
55,CH,2022-03-01,EBITDA reported,1.5661999999999998,1.5661999999999998,1.9461589999999998,2.805,CH_ER_2022-03-01
56,CH,2022-03-01,Adjustments M&A,0.0,0.0,0.0,0.0,CH_ER_2022-03-01
57,CH,2022-03-01,EBITDA adjusted,1.5661999999999994,1.5661999999999994,1.9461590000000317,2.805000000000001,CH_ER_2022-03-01
58,CH,2022-03-01,Personnel expenses,-3.912,-3.912,-4.0796779999999995,-3.6559999999999997,CH_ER_2022-03-01
59,CH,2022-03-01,Other operating expenses,-1.4258000000000006,-1.4258000000000006,-1.1802300000000003,-1.0710000000000002,CH_ER_2022-03-01
60,CH,2022-04-01,Other operating income,0.11599999999999999,0.11599999999999999,0.09512900000000002,0.119,CH_ER_2022-04-01
61,CH,2022-04-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0,CH_ER_2022-04-01
62,CH,2022-04-01,Adjustments integration,0.0,0.0,0.0,0.0,CH_ER_2022-04-01
63,CH,2022-04-01,EBIT,-0.8625000000000002,-0.8625000000000002,-0.7994479999999999,-0.302,CH_ER_2022-04-01
64,CH,2022-04-01,Gross profit,6.899999999999999,6.899999999999999,7.704726999999963,7.7620000000000005,CH_ER_2022-04-01
65,CH,2022-04-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0,CH_ER_2022-04-01
66,CH,2022-04-01,EBITDA adjusted,0.4274999999999993,0.4274999999999993,0.4664679999999559,0.9520000000000008,CH_ER_2022-04-01
67,CH,2022-04-01,Other operating expenses,-1.4829999999999997,-1.4829999999999997,-1.5607579999999999,-1.572,CH_ER_2022-04-01
68,CH,2022-04-01,Adjustments M&A,0.0,0.0,0.0,0.0,CH_ER_2022-04-01
69,CH,2022-04-01,External Revenues in LC,49.867999999999995,49.867999999999995,49.692271000000005,49.498999999999995,CH_ER_2022-04-01
70,CH,2022-04-01,Personnel expenses,-3.9429999999999996,-3.9429999999999996,-4.092420000000001,-3.8889999999999993,CH_ER_2022-04-01
71,CH,2022-04-01,Consolidated Revenues,49.867999999999995,49.867999999999995,49.692271000000005,49.498999999999995,CH_ER_2022-04-01
72,CH,2022-04-01,EAT,-1.0455000000000003,-1.0455000000000003,-1.168698,-0.508,CH_ER_2022-04-01
73,CH,2022-04-01,Distribution expenses,-0.8315000000000001,-0.8315000000000001,-1.007006,-0.935,CH_ER_2022-04-01
74,CH,2022-04-01,Adjustments Other operating income,0.0,0.0,0.0,0.0,CH_ER_2022-04-01
75,CH,2022-04-01,External Revenues,49.867999999999995,49.867999999999995,49.692271000000005,49.498999999999995,CH_ER_2022-04-01
76,CH,2022-04-01,Marketing expenses,-0.33099999999999996,-0.33099999999999996,-0.6732040000000004,-0.5329999999999999,CH_ER_2022-04-01
77,CH,2022-04-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0,CH_ER_2022-04-01
78,CH,2022-04-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0,CH_ER_2022-04-01
79,CH,2022-04-01,EBITDA reported,0.4275000000000002,0.4275000000000002,0.4664680000000003,0.952,CH_ER_2022-04-01
80,CH,2022-05-01,Adjustments M&A,0.0,0.0,0.0,0.0,CH_ER_2022-05-01
81,CH,2022-05-01,EBIT,0.38850000000000007,-0.06405599999999989,-0.057660000000000045,-0.639,CH_ER_2022-05-01
82,CH,2022-05-01,Marketing expenses,-0.36499999999999977,-0.6105590000000003,-0.660167,-0.5330000000000001,CH_ER_2022-05-01
83,CH,2022-05-01,Other operating income,0.15300000000000002,0.11202499999999993,0.09609699999999999,0.18800000000000006,CH_ER_2022-05-01
84,CH,2022-05-01,EBITDA adjusted,1.6375000000000073,1.0208189999999773,1.2052560000000323,0.6950000000000003,CH_ER_2022-05-01
85,CH,2022-05-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0,CH_ER_2022-05-01
86,CH,2022-05-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0,CH_ER_2022-05-01
87,CH,2022-05-01,EBITDA reported,1.6374999999999997,1.020819,1.2052560000000003,0.6950000000000003,CH_ER_2022-05-01
88,CH,2022-05-01,Gross profit,8.087000000000003,8.100357999999979,8.307402000000028,7.2989999999999995,CH_ER_2022-05-01
89,CH,2022-05-01,External Revenues,61.35899999999998,56.330719999999985,55.019498999999996,51.778999999999996,CH_ER_2022-05-01
90,CH,2022-05-01,Distribution expenses,-0.9624999999999995,-1.0645169999999995,-1.0923710000000004,-1.0860000000000003,CH_ER_2022-05-01
91,CH,2022-05-01,Personnel expenses,-3.889000000000001,-4.39822,-4.118047000000001,-3.766,CH_ER_2022-05-01
92,CH,2022-05-01,External Revenues in LC,61.35899999999998,56.330719999999985,55.019498999999996,51.778999999999996,CH_ER_2022-05-01
93,CH,2022-05-01,Consolidated Revenues,61.360000000000014,56.330719999999985,55.019498999999996,51.778999999999996,CH_ER_2022-05-01
94,CH,2022-05-01,EAT,0.1884999999999999,-0.38022299999999953,-0.42590999999999957,-0.8399999999999999,CH_ER_2022-05-01
95,CH,2022-05-01,Adjustments integration,0.0,0.0,0.0,0.0,CH_ER_2022-05-01
96,CH,2022-05-01,Other operating expenses,-1.3860000000000001,-1.1182679999999996,-1.3276579999999996,-1.407,CH_ER_2022-05-01
97,CH,2022-05-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0,CH_ER_2022-05-01
98,CH,2022-05-01,Adjustments Other operating income,0.0,0.0,0.0,0.0,CH_ER_2022-05-01
99,CH,2022-05-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0,CH_ER_2022-05-01
100,CH,2022-06-01,Marketing expenses,-0.3390000000000004,-0.6386009999999995,-0.6864749999999997,-0.17799999999999994,CH_ER_2022-06-01
101,CH,2022-06-01,EBITDA adjusted,0.317799999999993,1.2316260000000625,1.3335079999999664,1.5819999999999927,CH_ER_2022-06-01
102,CH,2022-06-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0,CH_ER_2022-06-01
103,CH,2022-06-01,External Revenues,61.448000000000036,58.67620800000003,57.092997999999966,56.78000000000003,CH_ER_2022-06-01
104,CH,2022-06-01,Other operating income,-0.33,0.11393200000000003,0.098078,0.30400000000000005,CH_ER_2022-06-01
105,CH,2022-06-01,Adjustments M&A,0.0,0.0,0.0,0.0,CH_ER_2022-06-01
106,CH,2022-06-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0,CH_ER_2022-06-01
107,CH,2022-06-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0,CH_ER_2022-06-01
108,CH,2022-06-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0,CH_ER_2022-06-01
109,CH,2022-06-01,Adjustments Other operating income,0.0,0.0,0.0,0.0,CH_ER_2022-06-01
110,CH,2022-06-01,Adjustments integration,0.0,0.0,0.0,0.0,CH_ER_2022-06-01
111,CH,2022-06-01,External Revenues in LC,61.448000000000036,58.67620800000003,57.092997999999966,56.78000000000003,CH_ER_2022-06-01
112,CH,2022-06-01,Personnel expenses,-3.3569999999999993,-4.100308999999999,-4.275726000000002,-4.5440000000000005,CH_ER_2022-06-01
113,CH,2022-06-01,EAT,-1.1591999999999998,-0.181832,-0.3006570000000002,-0.41100000000000003,CH_ER_2022-06-01
114,CH,2022-06-01,EBIT,-0.9992000000000001,0.09575099999999992,0.0685929999999999,0.10899999999999999,CH_ER_2022-06-01
115,CH,2022-06-01,EBITDA reported,0.3178000000000001,1.2316260000000003,1.3335079999999992,1.5819999999999999,CH_ER_2022-06-01
116,CH,2022-06-01,Distribution expenses,-0.9060000000000006,-1.0685320000000003,-1.0816819999999998,-1.1579999999999995,CH_ER_2022-06-01
117,CH,2022-06-01,Other operating expenses,-2.7462,-1.313948,-1.2302090000000003,-1.3129999999999997,CH_ER_2022-06-01
118,CH,2022-06-01,Consolidated Revenues,61.447,58.67620800000003,57.092997999999966,56.78000000000003,CH_ER_2022-06-01
119,CH,2022-06-01,Gross profit,7.995999999999995,8.239084000000062,8.509521999999969,8.470999999999997,CH_ER_2022-06-01
120,CH,2022-07-01,EBITDA reported,1.5499999999999998,0.7776399999999999,0.8661159999999999,1.0510000000000002,CH_ER_2022-07-01
121,CH,2022-07-01,Consolidated Revenues,52.12699999999995,52.275532999999996,50.10957500000001,47.88199999999995,CH_ER_2022-07-01
122,CH,2022-07-01,EAT,0.11100000000000021,-0.6033600000000003,-0.7610519999999998,-0.6330000000000005,CH_ER_2022-07-01
123,CH,2022-07-01,Adjustments Other operating income,0.0,0.0,0.0,0.0,CH_ER_2022-07-01
124,CH,2022-07-01,Adjustments integration,0.0,0.0,0.0,0.0,CH_ER_2022-07-01
125,CH,2022-07-01,Marketing expenses,-0.32899999999999974,-0.8341440000000002,-0.6597270000000002,-0.5749999999999997,CH_ER_2022-07-01
126,CH,2022-07-01,Adjustments M&A,0.0,0.0,0.0,0.0,CH_ER_2022-07-01
127,CH,2022-07-01,External Revenues in LC,52.12699999999995,52.275532999999996,50.10957500000001,47.88199999999995,CH_ER_2022-07-01
128,CH,2022-07-01,Other operating expenses,-0.9039999999999999,-1.3051559999999984,-1.4845469999999992,-1.3000000000000007,CH_ER_2022-07-01
129,CH,2022-07-01,External Revenues,52.12699999999995,52.275532999999996,50.10957500000001,47.88199999999995,CH_ER_2022-07-01
130,CH,2022-07-01,Other operating income,0.03799999999999998,0.11125499999999999,0.09473900000000002,0.1489999999999998,CH_ER_2022-07-01
131,CH,2022-07-01,EBITDA adjusted,1.5500000000000043,0.777639999999975,0.8661160000000532,1.0509999999999984,CH_ER_2022-07-01
132,CH,2022-07-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0,CH_ER_2022-07-01
133,CH,2022-07-01,Personnel expenses,-4.347999999999999,-4.047763,-3.905331999999998,-3.7570000000000014,CH_ER_2022-07-01
134,CH,2022-07-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0,CH_ER_2022-07-01
135,CH,2022-07-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0,CH_ER_2022-07-01
136,CH,2022-07-01,EBIT,0.31300000000000017,-0.31002700000000005,-0.397802,-0.377,CH_ER_2022-07-01
137,CH,2022-07-01,Gross profit,7.9140000000000015,7.856898999999977,7.812886000000056,7.442,CH_ER_2022-07-01
138,CH,2022-07-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0,CH_ER_2022-07-01
139,CH,2022-07-01,Distribution expenses,-0.8209999999999997,-1.003451,-0.9919029999999998,-0.9080000000000004,CH_ER_2022-07-01
140,CH,2022-08-01,EBITDA reported,1.9189999999999996,1.1946900000000005,1.2182630000000003,1.2999999999999998,CH_ER_2022-08-01
141,CH,2022-08-01,EBITDA adjusted,1.9189999999999916,1.194689999999989,1.2182629999999879,1.300000000000015,CH_ER_2022-08-01
142,CH,2022-08-01,Personnel expenses,-3.706000000000003,-4.099933,-3.9960590000000025,-3.4309999999999974,CH_ER_2022-08-01
143,CH,2022-08-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0,CH_ER_2022-08-01
144,CH,2022-08-01,Gross profit,8.043,8.124147999999984,8.030799999999985,7.233000000000004,CH_ER_2022-08-01
145,CH,2022-08-01,Adjustments Other operating income,0.0,0.0,0.0,0.0,CH_ER_2022-08-01
146,CH,2022-08-01,External Revenues in LC,58.17500000000001,54.51596699999999,51.83306500000003,51.04000000000002,CH_ER_2022-08-01
147,CH,2022-08-01,Distribution expenses,-0.8180000000000005,-0.9640000000000004,-0.9521439999999997,-0.8689999999999998,CH_ER_2022-08-01
148,CH,2022-08-01,Consolidated Revenues,58.17500000000001,54.51596699999999,51.83306500000003,51.04000000000002,CH_ER_2022-08-01
149,CH,2022-08-01,Marketing expenses,-0.5449999999999999,-0.6671,-0.6528799999999997,-0.43800000000000017,CH_ER_2022-08-01
150,CH,2022-08-01,EAT,0.34799999999999986,-0.24432700000000063,-0.4199030000000006,-0.39199999999999946,CH_ER_2022-08-01
151,CH,2022-08-01,Other operating income,0.033999999999999975,0.11331599999999997,0.10385100000000003,0.13800000000000012,CH_ER_2022-08-01
152,CH,2022-08-01,Adjustments integration,0.0,0.0,0.0,0.0,CH_ER_2022-08-01
153,CH,2022-08-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0,CH_ER_2022-08-01
154,CH,2022-08-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0,CH_ER_2022-08-01
155,CH,2022-08-01,Other operating expenses,-1.0890000000000004,-1.3117410000000014,-1.3153050000000004,-1.3329999999999984,CH_ER_2022-08-01
156,CH,2022-08-01,Adjustments M&A,0.0,0.0,0.0,0.0,CH_ER_2022-08-01
157,CH,2022-08-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0,CH_ER_2022-08-01
158,CH,2022-08-01,External Revenues,58.17500000000001,54.51596699999999,51.83306500000003,51.04000000000002,CH_ER_2022-08-01
159,CH,2022-08-01,EBIT,0.502,0.049257000000000106,-0.04865300000000006,-0.1100000000000001,CH_ER_2022-08-01
160,CH,2022-09-01,Other operating income,0.07400000000000001,0.35031599999999996,0.10285100000000003,0.3480000000000001,CH_ER_2022-09-01
161,CH,2022-09-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0,CH_ER_2022-09-01
